"data_type","year","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation",2009,"ANMHEL","2.09.002.00","lmc.seniors_consistent_values","agreement",26
"organisation",2009,"ANMHEL","2.09.003.00","lmc.clear_vision","agreement",33
"organisation",2009,"ANMHEL","2.09.004.00","lmc.organisation_managed_well","agreement",29
"organisation",2009,"ANMHEL","2.09.005.00","lmc.confidence_seniors","agreement",22
"organisation",2009,"ANMHEL","2.09.006.00","lmc.change_managed_well","agreement",16
"organisation",2009,"ANMHEL","2.09.007.00","lmc.change_for_better","agreement",20
"organisation",2009,"ANMHEL","2.09.008.00","lmc.kept_informed","agreement",41
"organisation",2009,"ANMHEL","2.09.009.00","lmc.contribute_views","agreement",18
"organisation",2009,"ANMHEL","2.09.010.00","lmc.safe_to_challenge","agreement",27
"organisation",2009,"ANMHEL","2.10.001.00","eng.proud_to_tell","agreement",41
"organisation",2009,"ANMHEL","2.10.002.00","eng.recommend_organisation","agreement",38
"organisation",2009,"ANMHEL","2.10.003.00","eng.personal_attachment","agreement",38
"organisation",2009,"ANMHEL","2.10.004.00","eng.organisation_inspires","agreement",36
"organisation",2009,"ANMHEL","2.10.005.00","eng.organisation_motivates","agreement",31
"organisation",2009,"ANMHEL","2.11.001.00","act.senior_action","agreement",31
"organisation",2009,"ANMHEL","2.11.002.00","act.managers_action","agreement",42
"organisation",2009,"ANMHEL","5.01.001.00","csc.aware_concern","yes",73
"organisation",2009,"ANMHEL","5.01.002.00","csc.aware_code","yes",39
"organisation",2009,"ANMHEL","5.01.003.00","csc.confident_code","yes",51
"organisation",2009,"ANMHEL","6.01.001.00","dhb.experienced_discrimination","yes",10
"organisation",2009,"ANMHEL","6.02.001.00","dhb.experienced_bullying","yes",12
"organisation",2009,"ATTGEN","1.01.001.00","000.engagement_index","index",72
"organisation",2009,"ATTGEN","1.02.001.00","000.my_work","theme",87
"organisation",2009,"ATTGEN","1.02.002.00","000.objectives_purpose","theme",81
"organisation",2009,"ATTGEN","1.02.003.00","000.my_manager","theme",83
"organisation",2009,"ATTGEN","1.02.004.00","000.my_team","theme",88
"organisation",2009,"ATTGEN","1.02.005.00","000.learning_development","theme",57
"organisation",2009,"ATTGEN","1.02.006.00","000.inclusion_treatment","theme",87
"organisation",2009,"ATTGEN","1.02.007.00","000.resources_workload","theme",74
"organisation",2009,"ATTGEN","1.02.008.00","000.pay_benefits","theme",51
"organisation",2009,"ATTGEN","1.02.009.00","000.leadership_change","theme",61
"organisation",2009,"ATTGEN","2.01.001.00","mwk.interested_work","agreement",98
"organisation",2009,"ATTGEN","2.01.002.00","mwk.challenging_work","agreement",87
"organisation",2009,"ATTGEN","2.01.003.00","mwk.personal_accomplishment","agreement",89
"organisation",2009,"ATTGEN","2.01.004.00","mwk.involved_decisions","agreement",71
"organisation",2009,"ATTGEN","2.01.005.00","mwk.choice_how","agreement",91
"organisation",2009,"ATTGEN","2.02.001.00","obj.understanding_objectives","agreement",73
"organisation",2009,"ATTGEN","2.02.002.00","obj.understanding_purpose","agreement",80
"organisation",2009,"ATTGEN","2.02.003.00","obj.contribute_toward_objectives","agreement",88
"organisation",2009,"ATTGEN","2.03.001.00","mgr.manager_motivates","agreement",84
"organisation",2009,"ATTGEN","2.03.004.00","mgr.manager_considerate","agreement",89
"organisation",2009,"ATTGEN","2.03.005.00","mgr.manager_open","agreement",95
"organisation",2009,"ATTGEN","2.03.006.00","mgr.understand_contribution","agreement",86
"organisation",2009,"ATTGEN","2.03.007.00","mgr.confidence_manger","agreement",91
"organisation",2009,"ATTGEN","2.03.008.00","mgr.manager_recognises","agreement",95
"organisation",2009,"ATTGEN","2.03.009.00","mgr.regular_feedback","agreement",77
"organisation",2009,"ATTGEN","2.03.010.00","mgr.feedback_helps","agreement",66
"organisation",2009,"ATTGEN","2.03.011.00","mgr.performance_fairly","agreement",82
"organisation",2009,"ATTGEN","2.03.013.00","mgr.poor_performance","agreement",60
"organisation",2009,"ATTGEN","2.04.001.00","tem.relied_upon","agreement",90
