"organisation","year_from","year_to","org_codes","dept_groups"
"Food Standards Agency",2009,2024,"FSA, FSA0000","Food Standards Agency, Health"
"Food Standards Scotland",2016,2024,"FSS, FSS0000","Scottish Government"
"Food and Environment Research Agency",2009,2014,,"Environment, Food and Rural Affairs, Environment, Food and Rural Affairs, Department for, Environemnt, Food and Rural Affairs, Environment, Food & Rural Affairs"
"Foreign & Commonwealth Office",2014,2018,"FCO","Foreign & Commonwealth Office"
"Foreign and Commonwealth Office",2009,2019,"FCO0000","Foreign and Commonwealth Office"
"Foreign and Commonwealth Office (excluding agencies)",2010,2011,,"Foreign and Commonwealth Office"
"Foreign, Commonwealth and Development Office",2020,2024,"FCDO","Foreign, Commonwealth and Development Office"
"Forestry and Land Scotland",2019,2024,"FLS0000, FLS","Scottish Government"
"General Register Office for Scotland",2009,2010,,"Scottish Government"
"Government Actuary's Department",2010,2024,"GAD, GAD0000","HM Treasury, Chancellor's other departments, Chancellors' Other Departments, Government Actuary's Department"
"Government Car and Despatch Agency",2009,2011,,"Transport, Transport, Department for"
"Government Equalities Office",2009,2019,"GEO, GEO0000","Communities and Local Government, Government Equalities Office, Cabinet Office"
"Government Internal Audit Agency",2015,2024,"GIAA, GIAA0000","HM Treasury and Chancellor's other departments, HM Treasury and Chancellor's departments, HM Treasury Group"
"Government Legal Department",2015,2024,"GLD, GLD0000","Attorney General's Departments, Government Legal Department"
"Government Office Network",2009,2010,,"Communities and Local Government, Communities and Local Government, Department for"
"Government Procurement Service",2011,2013,,"Cabinet Office"
"Government Property Agency",2018,2024,"GPA, GPA0000","Cabinet Office"
"HM CPS Inspectorate",2009,2024,"HMCPSI0000, HMCPSI","Attorney General's Departments, Attorney General's departments"
"HM Courts Service",2009,2010,,"Justice, Justice, Ministry of"
"HM Courts and Tribunal Service",2013,2013,,"Justice"
"HM Courts and Tribunals Service",2011,2024,"HMCTS, HMCTS0000","Justice"
"HM Crown Prosecution Service Inspectorate",2014,2018,"HMCPSI","Attorney General's Departments, Attorney General's departments"
"HM Inspectorate of Constabulary",2014,2016,"HMIC","Home Office, HM Inspectorate of Constabulary"
"HM Inspectorate of Constabulary and Fire & Rescue Services",2017,2018,"HMICFR","HM Inspectorate of Constabulary and Fire & Rescue Services"
"HM Inspectorate of Constabulary and Fire and Rescue Services",2023,2024,"HMICFR","HM Inspectorate of Constabulary and Fire & Rescue Services, HM Inspectorate of Constabulary and Fire and Rescue Services"
"HM Inspectorate of Education",2009,2010,,"Scottish Government"
"HM Land Registry",2018,2024,"HMLR, HMLR0000","Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Levelling Up, Housing and Communities, Ministry of Housing, Communities and Local Government"
"HM Passport Office",2013,2018,"HMPO","Home Office"
"HM Prison Service",2014,2024,"HMPS, HMPS0000","Justice"
"HM Prison and Probation Service (HQ)",2017,2018,"HMPPHQ","Justice"
"HM Prison and Probation Service Headquarters",2019,2024,"HMPPHQ0000, HMPPHQ","Justice"
"HM Revenue & Customs",2009,2018,"HMRC","HM Revenue & Customs, HM Revenue and Customs"
"HM Revenue and Customs",2010,2024,"HMRC0000, HMRC","HM Revenue and Customs, HM Revenue & Customs"
"HM Treasury",2009,2024,"HMT, HMT0000","HM Treasury, HM Treasury and Chancellor's other departments, HM Treasury and Chancellor's departments, HM Treasury Group"
"HM Treasury (excluding agencies)",2010,2011,,"HM Treasury"
"Health and Safety Executive",2009,2024,"HSE, HSE0000","Work and Pensions, Work and Pensions, Department for"
"Her Majesty's Inspectorate of Constabulary and Fire and Rescue Services",2019,2022,"HMICFR0000, HMICFR","HM Inspectorate of Constabulary and Fire & Rescue Services"
"Highways Agency",2009,2014,,"Transport, Transport, Department for"
"Historic Scotland",2009,2013,,"Scottish Government"
"Historic Scotland and the Royal Commission on the Ancient and Historic Monuments of Scotland",2014,2014,,"Scottish Government"
"Home Office",2009,2024,"HO","Home Office"
"Home Office (HQ)",2013,2013,,"Home Office"
"Home Office (excluding agencies)",2010,2011,,"Home Office"
"Home Office group",2015,2018,"HOMEOFFICEGROUP","Home Office"
"Home Office group (combined results)",2019,2020,"HO_GRP, HO_GROUP","Home Office"
"Home Office: Border Force",2014,2020,"BF, BF0000","Home Office"
"Home Office: HM Passport Office",2019,2020,"HMPO0000, HMPO","Home Office"
"Home Office: Immigration Enforcement",2014,2020,"IE, IE0000","Home Office"
"Home Office: Policy and Enablers",2014,2020,"PE0000, PE","Home Office"
"Home Office: Policy and Enablers (formerly known as Home Office HQ)",2015,2018,"PE","Home Office"
"Home Office: UK Visas and Immigration",2014,2020,"UKVI, UKVI0000","Home Office"
"Identity & Passport Service",2010,2012,,"Home Office"
"Identity and Passport Service",2009,2011,,"Home Office"
"Immigration Enforcement",2013,2013,,"Home Office"
"Insolvency Service",2009,2013,,"Business, Innovation and Skills, Business, Innovation and Skills, Department for"
"Institute for Apprenticeships and Techincal Education",2020,2020,"IFATE","Institute for Apprenticeships and Techincal Education"
"Institute for Apprenticeships and Technical Education",2021,2024,"IFATE","Institute for Apprenticeships and Technical Education"
"Intellectual Property Office",2009,2024,"IPO, IPO0000","Business, Innovation and Skills, Business, Innovation and Skills, Department for, Business, Innovation & Skills, Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Department for Science, Innovation and Technology"
"Land Registry",2009,2017,"LR","Justice, Justice, Ministry of, Business, Innovation and Skills, Business, Innovation & Skills, Business, Energy & Industrial Strategy"
"Legal Aid Agency",2013,2024,"LAA, LAA0000","Justice"
"Legal Services Commission",2011,2012,,"Justice"
"MOJ Arms Length Bodies",2011,2011,,"Justice"
"Maritime and Coastguard Agency",2009,2024,"MCA, MCA0000","Transport, Transport, Department for"
"Maritime and Fisheries Agency",2009,2009,,"Environment, Food and Rural Affairs"
"Meat Hygiene Service",2009,2009,,"Food Standards Agency"
"Medicines and Healthcare Products Regulatory Agency",2009,2018,"MHRA","Health, Health and Social Care"
"Medicines and Healthcare products Regulatory Agency",2010,2024,"MHRA0000, MHRA","Health, Department of, Health, Health and Social Care"
"Met Office",2010,2024,"MET, MET0000","Defence, Ministry of, Business, Innovation and Skills, Business, Innovation & Skills, Business, Energy & Industrial Strategy, Business, Energy and Industrial Strategy, Department for Science, Innovation and Technology"
"Ministry of Defence",2009,2024,"MOD, MOD0000","Defence"
"Ministry of Defence (excluding agencies)",2010,2011,,"Defence, Ministry of, Defence"
"Ministry of Housing, Communities and Local Government",2019,2024,"MHCLG0000, MHCLG","Housing, Communities and Local Government, Ministry of Housing, Communities and Local Government"
"Ministry of Housing, Communities and Local Government (excluding agencies)",2018,2018,"MHCLG","Housing, Communities and Local Government"
"Ministry of Justice",2009,2014,,"Justice"
"Ministry of Justice (HQ)",2013,2018,"MOJHQ","Justice"
"Ministry of Justice (excluding agencies)",2010,2011,,"Justice, Ministry of, Justice"
"Ministry of Justice (including agencies)",2015,2018,"MOJWITHAGENCIES, MOJGROUP","Justice"
"Ministry of Justice Arm's Length and Other Bodies",2021,2024,"ALOB","Justice"
"Ministry of Justice Arm’s Length and Other Bodies",2019,2020,"ALOB0000, ALOB","Justice"
"Ministry of Justice Headquarters",2019,2024,"MOJHQ0000, MOJHQ","Justice"
"Ministry of Justice group (including agencies)",2019,2024,"MOJ_GRP, MOJ_GROUP","Justice"
"MoJ Arms Length Bodies",2010,2017,"ALBS","Justice, Ministry of, Justice"
"MoJ Arms Length and Other Bodies",2018,2018,"ALOB","Justice"
"NHS Test and Trace",2020,2020,"NHSTT","Health and Social Care"
"National Archives of Scotland",2009,2010,,"Scottish Government"
"National Crime Agency",2013,2024,"NCA, NCA0000","National Crime Agency"
"National Infrastructure Commission",2019,2024,"NIC0000, NIC","HM Treasury Group"
"National Measurement Office",2009,2014,,"Business, Innovation and Skills, Business, Innovation and Skills, Department for, Business, Innovation & Skills"
"National Measurement and Regulation Office",2015,2015,,"Business, Innovation & Skills"
"National Offender Management Service",2009,2013,,"Justice, Justice, Ministry of"
"National Offender Management Service (HQ)",2014,2016,"NOMSHQ","Justice"
"National Probation Service",2014,2020,"NPS, NPS0000","Justice"
"National Records of Scotland",2011,2024,"NRS, NRS0000","Scottish Government"
"National Savings & Investment",2010,2011,,"HM Treasury"
"National Savings and Investment",2009,2012,,"Chancellor's Other Departments, Chancellor's other departments"
"National Savings and Investments",2013,2024,"NSANDI, NSANDI0000","Chancellors' Other Departments, HM Treasury, National Savings and Investments"
"National School of Government",2009,2010,,"Cabinet Office"
"Office for National Statistics",2011,2024,"ONS, ONS_CorrectedJan2020, ONS0000","Statistics Authority, UK Statistics Authority"
"Office of Fair Trading",2009,2013,,"Business, Innovation and Skills, Business, Innovation and Skills, Department for"
"Office of Gas and Electricity Markets",2019,2024,"OFGEM0000, OFGEM","Ofgem"
"Office of Government Commerce",2009,2010,,"Chancellor's Other Departments, Cabinet Office"
"Office of National Statistics",2013,2013,,"Statistics"
"Office of Qualifications and Examinations Regulation",2019,2024,"OFQUAL0000, OFQUAL","Office of Qualifications and Examinations Regulation"
"Office of Rail Regulation",2009,2014,,"Transport, Office of Rail Regulation"
"Office of Rail and Road",2015,2024,"ORR, ORR0000","Transport, Office of Rail and Road"
"Office of the Public Guardian",2009,2024,"OPG, OPG0000","Justice, Justice, Ministry of"
"Office of the Rail Regulator",2010,2010,,"Transport, Department for"
"Office of the Scottish Charity Regulator",2009,2024,"OSCR, OSCR0000","Scottish Government"
"Ofgem",2011,2018,"OFGEM","Office of Gas and Electricity Markets, Ofgem"
"Ofqual",2011,2018,"OFQUAL","Office of Qualifications and Examinations Regulation, Ofqual"
"Ofsted",2010,2024,"OFSTED, OFSTED0000","Ofsted, Office of Standards in Education, Children's Services and Skills, Office for Standards in Education, Office of Standards in Education"
"Ordnance Survey",2009,2014,,"Communities and Local Government, Defence, Ministry of, Business, Innovation and Skills, Business, Innovation & Skills"
"Planning Inspectorate",2013,2024,"PINS, PINS0000","Communities and Local Government, Housing, Communities and Local Government, Levelling Up, Housing and Communities, Ministry of Housing, Communities and Local Government"
"Probation Service",2021,2024,"PS","Justice"
"Public Health England",2013,2020,"PHE, PHE0000","Health, Health and Social Care"
"Registers of Scotland",2009,2024,"ROS, ROS0000","Scottish Government"
"Revenue Scotland",2015,2024,"RS, RS0000","Scottish Government"
"Rural Payments Agency",2009,2024,"RPA, RPA0000","Environment, Food and Rural Affairs, Environment, Food and Rural Affairs, Department for, Environemnt, Food and Rural Affairs, Environment, Food & Rural Affairs"
"Scotland Office and Office of the Advocate General",2009,2009,,"Justice"
"Scotland Office, Office of the Advocate General and Wales Office",2010,2010,,"Justice, Ministry of"
"Scotland Office, Office of the Advocate General, Wales Office and Northern Ireland Office",2012,2014,,"Scotland Office, Wales Office and Northern Ireland Office, Scotland Office, Office of the Advocate General, Wales Office and Northern Ireland Office, Territorial Offices"
"Scotland Office, Office of the Advocate General, Wales Office and Northern Ireland Office combined",2015,2018,"SWNIO","Teritorial Offices, Territorial Offices"
"Scotland Office, Office of the Advocate General, Wales Office, and Northern Ireland Office",2011,2011,,"Justice"
"Scotland, Wales and Northern Ireland Offices, and the Office of the Advocate General",2019,2024,"SWNIO0000, SWNIO","Territorial Offices"
"Scottish Court Service",2010,2014,,"Scottish Government"
