"data_type","uid_org_txt","uid_qm_num","uid_qm_txt","response_category","value"
"organisation","ANPHEL","5.01.003.00","csc.confident_code","yes",61
"organisation","ANPHEL","6.01.001.00","dhb.experienced_discrimination","yes",14
"organisation","ANPHEL","6.02.001.00","dhb.experienced_bullying","yes",13
"organisation","ANPHEL","6.02.004.00","dhb.reported_bullying","yes",40
"organisation","ANPHEL","6.04.001.00","dhb.bullying_resolved","yes",14
"organisation","ANPHEL","7.02.001.00","wlb.satisfied_life","num_07_10",56
"organisation","ANPHEL","7.02.002.00","wlb.life_worthwhile","num_07_10",64
"organisation","ANPHEL","7.02.003.00","wlb.happy_yesterday","num_07_10",56
"organisation","ANPHEL","7.02.004.00","wlb.anxious_yesterday","num_06_10",47
"organisation","ATTGEN","0.00.002.00","meta.response_rate","response_rate",100
"organisation","ATTGEN","1.01.001.00","000.engagement_index","index",84
"organisation","ATTGEN","1.02.001.00","000.my_work","theme",91
"organisation","ATTGEN","1.02.002.00","000.objectives_purpose","theme",98
"organisation","ATTGEN","1.02.003.00","000.my_manager","theme",85
"organisation","ATTGEN","1.02.004.00","000.my_team","theme",96
"organisation","ATTGEN","1.02.005.00","000.learning_development","theme",76
"organisation","ATTGEN","1.02.006.00","000.inclusion_treatment","theme",88
"organisation","ATTGEN","1.02.007.00","000.resources_workload","theme",84
"organisation","ATTGEN","1.02.008.00","000.pay_benefits","theme",35
"organisation","ATTGEN","1.02.009.00","000.leadership_change","theme",78
"organisation","ATTGEN","2.01.001.00","mwk.interested_work","agreement",96
"organisation","ATTGEN","2.01.002.00","mwk.challenging_work","agreement",96
"organisation","ATTGEN","2.01.003.00","mwk.personal_accomplishment","agreement",91
"organisation","ATTGEN","2.01.004.00","mwk.involved_decisions","agreement",87
"organisation","ATTGEN","2.01.005.00","mwk.choice_how","agreement",83
"organisation","ATTGEN","2.02.001.00","obj.understanding_objectives","agreement",100
"organisation","ATTGEN","2.02.003.00","obj.contribute_toward_objectives","agreement",96
"organisation","ATTGEN","2.03.001.00","mgr.manager_motivates","agreement",85
"organisation","ATTGEN","2.03.004.00","mgr.manager_considerate","agreement",89
"organisation","ATTGEN","2.03.005.00","mgr.manager_open","agreement",96
"organisation","ATTGEN","2.03.006.00","mgr.understand_contribution","agreement",85
"organisation","ATTGEN","2.03.007.00","mgr.confidence_manger","agreement",91
"organisation","ATTGEN","2.03.008.00","mgr.manager_recognises","agreement",93
"organisation","ATTGEN","2.03.009.00","mgr.regular_feedback","agreement",89
"organisation","ATTGEN","2.03.010.00","mgr.feedback_helps","agreement",83
"organisation","ATTGEN","2.03.011.00","mgr.performance_fairly","agreement",83
"organisation","ATTGEN","2.03.013.00","mgr.poor_performance","agreement",52
"organisation","ATTGEN","2.04.001.00","tem.relied_upon","agreement",94
"organisation","ATTGEN","2.04.002.00","tem.improve_service","agreement",100
"organisation","ATTGEN","2.04.003.00","mtm.team_encouraged","agreement",96
"organisation","ATTGEN","2.05.001.00","ldv.access_learning","agreement",67
"organisation","ATTGEN","2.05.002.00","ldv.improve_performance","agreement",78
"organisation","ATTGEN","2.05.003.00","ldv.opportunities_career","agreement",79
"organisation","ATTGEN","2.05.004.00","ldv.helping_career","agreement",77
"organisation","ATTGEN","2.06.001.00","ift.treated_fairly","agreement",89
"organisation","ATTGEN","2.06.002.00","ift.treated_respect","agreement",91
"organisation","ATTGEN","2.06.003.00","ift.work_valued","agreement",87
"organisation","ATTGEN","2.06.004.00","ift.respects_differences","agreement",83
"organisation","ATTGEN","2.07.001.00","rwk.information_needed","agreement",98
"organisation","ATTGEN","2.07.002.00","rwk.work_objectives","agreement",91
"organisation","ATTGEN","2.07.004.00","rwk.skills_needed","agreement",100
"organisation","ATTGEN","2.07.005.00","rwk.tools_needed","agreement",77
"organisation","ATTGEN","2.07.006.00","rwk.acceptable_workload","agreement",74
"organisation","ATTGEN","2.07.007.00","rwk.work_life_balance","agreement",66
"organisation","ATTGEN","2.08.001.00","pay.reflects_performance","agreement",38
"organisation","ATTGEN","2.08.002.00","pay.satisfied_benefits","agreement",33
"organisation","ATTGEN","2.08.003.00","pay.pay_reasonable","agreement",32
"organisation","ATTGEN","2.09.001.00","lmc.seniors_visible","agreement",89
"organisation","ATTGEN","2.09.002.00","lmc.seniors_consistent_values","agreement",85
"organisation","ATTGEN","2.09.003.00","lmc.clear_vision","agreement",80
"organisation","ATTGEN","2.09.005.00","lmc.confidence_seniors","agreement",85
"organisation","ATTGEN","2.09.006.00","lmc.change_managed_well","agreement",71
"organisation","ATTGEN","2.09.007.00","lmc.change_for_better","agreement",58
"organisation","ATTGEN","2.09.008.00","lmc.kept_informed","agreement",89
"organisation","ATTGEN","2.09.009.00","lmc.contribute_views","agreement",70
"organisation","ATTGEN","2.09.010.00","lmc.safe_to_challenge","agreement",67
"organisation","ATTGEN","2.10.001.00","eng.proud_to_tell","agreement",98
"organisation","ATTGEN","2.10.002.00","eng.recommend_organisation","agreement",94
"organisation","ATTGEN","2.10.003.00","eng.personal_attachment","agreement",68
"organisation","ATTGEN","2.10.004.00","eng.organisation_inspires","agreement",91
"organisation","ATTGEN","2.10.005.00","eng.organisation_motivates","agreement",85
"organisation","ATTGEN","2.11.001.00","act.senior_action","agreement",91
"organisation","ATTGEN","2.11.003.00","act.been_taken","agreement",74
"organisation","ATTGEN","3.01.001.00","tpl.trusted_job","agreement",91
"organisation","ATTGEN","3.01.002.00","tpl.try_new_ideas","agreement",89
"organisation","ATTGEN","3.01.006.00","tpl.speak_up_risk","agreement",87
"organisation","ATTGEN","3.01.007.00","tpl.challenge_inappropriate","agreement",76
"organisation","ATTGEN","3.01.008.00","tpl.organisation_inclusive","agreement",83
"organisation","ATTGEN","3.02.007.00","tpl.seniors_role_model","agreement",93
"organisation","ATTGEN","3.02.008.00","tpl.supervisor_role_model","agreement",91
"organisation","ATTGEN","3.03.001.00","tpl.aware_vision","agreement",64
"organisation","ATTGEN","3.03.002.00","tpl.achieve_vision","agreement",60
"organisation","ATTGEN","5.01.001.00","csc.aware_concern","yes",100
"organisation","ATTGEN","5.01.002.00","csc.aware_code","yes",91
"organisation","ATTGEN","5.01.003.00","csc.confident_code","yes",98
"organisation","ATTGEN","6.01.001.00","dhb.experienced_discrimination","yes",2
"organisation","ATTGEN","6.02.001.00","dhb.experienced_bullying","yes",6
"organisation","ATTGEN","7.02.001.00","wlb.satisfied_life","num_07_10",76
"organisation","ATTGEN","7.02.002.00","wlb.life_worthwhile","num_07_10",80
"organisation","ATTGEN","7.02.003.00","wlb.happy_yesterday","num_07_10",67
"organisation","ATTGEN","7.02.004.00","wlb.anxious_yesterday","num_06_10",47
"organisation","BRDFCE","0.00.002.00","meta.response_rate","response_rate",40
"organisation","BRDFCE","1.01.001.00","000.engagement_index","index",47
"organisation","BRDFCE","1.02.001.00","000.my_work","theme",61
"organisation","BRDFCE","1.02.002.00","000.objectives_purpose","theme",75
"organisation","BRDFCE","1.02.003.00","000.my_manager","theme",57
"organisation","BRDFCE","1.02.004.00","000.my_team","theme",67
"organisation","BRDFCE","1.02.005.00","000.learning_development","theme",37
"organisation","BRDFCE","1.02.006.00","000.inclusion_treatment","theme",61
"organisation","BRDFCE","1.02.007.00","000.resources_workload","theme",53
"organisation","BRDFCE","1.02.008.00","000.pay_benefits","theme",20
"organisation","BRDFCE","1.02.009.00","000.leadership_change","theme",28
"organisation","BRDFCE","2.01.001.00","mwk.interested_work","agreement",85
"organisation","BRDFCE","2.01.002.00","mwk.challenging_work","agreement",71
"organisation","BRDFCE","2.01.003.00","mwk.personal_accomplishment","agreement",64
"organisation","BRDFCE","2.01.004.00","mwk.involved_decisions","agreement",39
"organisation","BRDFCE","2.01.005.00","mwk.choice_how","agreement",45
"organisation","BRDFCE","2.02.001.00","obj.understanding_objectives","agreement",75
"organisation","BRDFCE","2.02.003.00","obj.contribute_toward_objectives","agreement",76
"organisation","BRDFCE","2.03.001.00","mgr.manager_motivates","agreement",58
"organisation","BRDFCE","2.03.004.00","mgr.manager_considerate","agreement",70
"organisation","BRDFCE","2.03.005.00","mgr.manager_open","agreement",68
"organisation","BRDFCE","2.03.006.00","mgr.understand_contribution","agreement",54
"organisation","BRDFCE","2.03.007.00","mgr.confidence_manger","agreement",62
"organisation","BRDFCE","2.03.008.00","mgr.manager_recognises","agreement",71
"organisation","BRDFCE","2.03.009.00","mgr.regular_feedback","agreement",57
"organisation","BRDFCE","2.03.010.00","mgr.feedback_helps","agreement",49
"organisation","BRDFCE","2.03.011.00","mgr.performance_fairly","agreement",51
"organisation","BRDFCE","2.03.013.00","mgr.poor_performance","agreement",31
"organisation","BRDFCE","2.04.001.00","tem.relied_upon","agreement",78
"organisation","BRDFCE","2.04.002.00","tem.improve_service","agreement",68
"organisation","BRDFCE","2.04.003.00","mtm.team_encouraged","agreement",57
"organisation","BRDFCE","2.05.001.00","ldv.access_learning","agreement",42
"organisation","BRDFCE","2.05.002.00","ldv.improve_performance","agreement",37
"organisation","BRDFCE","2.05.003.00","ldv.opportunities_career","agreement",38
"organisation","BRDFCE","2.05.004.00","ldv.helping_career","agreement",29
"organisation","BRDFCE","2.06.001.00","ift.treated_fairly","agreement",63
"organisation","BRDFCE","2.06.002.00","ift.treated_respect","agreement",75
"organisation","BRDFCE","2.06.003.00","ift.work_valued","agreement",48
"organisation","BRDFCE","2.06.004.00","ift.respects_differences","agreement",57
"organisation","BRDFCE","2.07.001.00","rwk.information_needed","agreement",51
"organisation","BRDFCE","2.07.002.00","rwk.work_objectives","agreement",60
"organisation","BRDFCE","2.07.004.00","rwk.skills_needed","agreement",71
"organisation","BRDFCE","2.07.005.00","rwk.tools_needed","agreement",41
"organisation","BRDFCE","2.07.006.00","rwk.acceptable_workload","agreement",47
"organisation","BRDFCE","2.07.007.00","rwk.work_life_balance","agreement",47
"organisation","BRDFCE","2.08.001.00","pay.reflects_performance","agreement",22
"organisation","BRDFCE","2.08.002.00","pay.satisfied_benefits","agreement",18
"organisation","BRDFCE","2.08.003.00","pay.pay_reasonable","agreement",19
"organisation","BRDFCE","2.09.001.00","lmc.seniors_visible","agreement",44
"organisation","BRDFCE","2.09.002.00","lmc.seniors_consistent_values","agreement",35
"organisation","BRDFCE","2.09.003.00","lmc.clear_vision","agreement",31
"organisation","BRDFCE","2.09.005.00","lmc.confidence_seniors","agreement",28
"organisation","BRDFCE","2.09.006.00","lmc.change_managed_well","agreement",16
"organisation","BRDFCE","2.09.007.00","lmc.change_for_better","agreement",15
"organisation","BRDFCE","2.09.008.00","lmc.kept_informed","agreement",37
"organisation","BRDFCE","2.09.009.00","lmc.contribute_views","agreement",22
