uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
occdet_pol,1.07.02.300,primary,Policy,Policy,Occupation: Policy
occdet_spc_anm,1.07.02.401,primary,Animal health,Animal health,Occupation: Animal health
occdet_spc_crt,1.07.02.402,primary,Cartography,Cartography,Occupation: Cartography
occdet_spc_cms,1.07.02.403,primary,Communications,Communications,Occupation: Communications
occdet_spc_ecn,1.07.02.404,primary,Economics,Economics,Occupation: Economics
occdet_spc_eng,1.07.02.405,primary,Engineering,Engineering,Occupation: Engineering
occdet_spc_hel,1.07.02.406,primary,Human health,Human health,Occupation: Human health
occdet_spc_leg,1.07.02.407,primary,Legal,Legal,Occupation: Legal
occdet_spc_opr,1.07.02.408,primary,Operational research,Operational research,Occupation: Operational research
occdet_spc_res,1.07.02.409,primary,Social research,Social research,Occupation: Social research
occdet_spc_sci,1.07.02.410,primary,Science,Science,Occupation: Science
occdet_spc_oth,1.07.02.490,primary,Other specialist role,Other specialist role,Occupation: Other specialist role
occdet_oth,1.07.02.900,primary,Other role,Other role,Occupation: Other role
functn_anl,1.07.03.001,primary,Analysis,Analysis,Operational function: Analysis
functn_cmc,1.07.03.002,primary,Commerical,Commerical,Operational function: Commerical
functn_cms,1.07.03.003,primary,Communications,Communications,Operational function: Communications
functn_cns,1.07.03.004,primary,Consular,Consular,Operational function: Consular
functn_cfr,1.07.03.005,primary,Counter fraud,Counter fraud,Operational function: Counter fraud
functn_fed,1.07.03.006,primary,FEDG,"Fraud, Error, Debt and Grants","Operational function: Fraud, Error, Debt and Grants"
functn_dbt,1.07.03.007,primary,Debt management,Debt management,Operational function: Debt management
functn_dig,1.07.03.008,primary,Digital,"Digital, data and technology","Operational function: Digital, data and technology"
functn_fin,1.07.03.009,primary,Finance,Finance,Operational function: Finance
functn_gtm,1.07.03.010,primary,Grants management,Grants management,Operational function: Grants management
functn_hr,1.07.03.011,primary,HR,Human resources,Operational function: Human resources
functn_int,1.07.03.012,primary,Intelligence analysis,Intelligence analysis,Operational function: Intelligence analysis
functn_aud,1.07.03.013,primary,Internal audit,Internal audit,Operational function: Internal audit
functn_trd,1.07.03.013,primary,International trade,International trade,Operational function: International trade
functn_kim,1.07.03.014,primary,Knowl. and information,Knowledge and information management,Operational function: Knowledge and information management
functn_leg,1.07.03.015,primary,Legal,Legal,Operational function: Legal
functn_del,1.07.03.016,primary,Operational delivery,Operational delivery,Operational function: Operational delivery
functn_pol,1.07.03.017,primary,Policy,Policy,Operational function: Policy
functn_prj,1.07.03.018,primary,Project delivery,Project delivery,Operational function: Project delivery
functn_prp,1.07.03.019,primary,Property,Property,Operational function: Property
functn_sec,1.07.03.220,primary,Security,Security,Operational function: Security
functn_sce,1.07.03.221,primary,Science and engineering,Science and engineering,Operational function: Science and engineering
