uid_demq_txt,uid_cat_txt,uid_demcat_txt,uid_demcat_num,resp_type,label_short,label_long,label_full
wrkplc,wpl_mob,wrkplc_mob,1.05.02.003,primary,Mobile,Mobile (no fixed workplace),Working pattern (location): Mobile (no fixed workplace)
wrkplc,wpl_hom,wrkplc_hom,1.05.02.004,primary,Homeworker,Homeworker,Working pattern (location): Homeworker
emplst,emp_prm,emplst_prm,1.06.00.001,primary,Permanent,Permanent contract,Employment status: Permanent contract
emplst,emp_fix,emplst_fix,1.06.00.002,primary,Fixed-term,Fixed-term contract,Employment status: Fixed-term contract
emplst,emp_ocs,emplst_ocs,1.06.00.003,primary,Loan within the Civil Service,On loan from another Civil Service organisation,Employment status: On loan from another Civil Service organisation
emplst,emp_tmp,emplst_tmp,1.06.00.004,primary,Temporary/agency,Temporary or agency worker,Employment status: Temporary or agency worker
emplst,emp_con,emplst_con,1.06.00.005,primary,Contractor,Contract or freelance worker,Employment status: Contract or freelance worker
emplst,emp_sec,emplst_sec,1.06.00.006,primary,External secondment,On secondment from outside the Civil Service,Employment status: On secondment from outside the Civil Service
occgrp,occ_grp_ops,occgrp_ops,1.07.01.001,primary,Operational role,Operational role,Occupation (grouped): Operational role
occgrp,occ_grp_crp,occgrp_crp,1.07.01.002,primary,Coporate services role,Coporate services role,Occupation (grouped): Coporate services role
occgrp,zzz_pol,occgrp_pol,1.07.01.003,primary,Policy role,Policy role,Occupation (grouped): Policy role
occgrp,occ_grp_spc,occgrp_spc,1.07.01.004,primary,Specialist role,Specialist role,Occupation (grouped): Specialist role
occgrp,zzz_oth,occgrp_oth,1.07.01.900,primary,Other role,Other role,Occupation (grouped): Other role
occdet,occ_ops_adm,occdet_ops_adm,1.07.02.101,primary,Administration,Administration,Occupation: Administration
occdet,occ_ops_cal,occdet_ops_cal,1.07.02.102,primary,Call-centre,Call-centre,Occupation: Call-centre
occdet,occ_ops_cas,occdet_ops_cas,1.07.02.103,primary,Casework,Casework,Occupation: Casework
occdet,occ_ops_frd,occdet_ops_frd,1.07.02.104,primary,Counter fraud,Counter fraud,Occupation: Counter fraud
occdet,occ_ops_dbt,occdet_ops_dbt,1.07.02.105,primary,Debt management,Debt management,Occupation: Debt management
occdet,occ_ops_fac,occdet_ops_fac,1.07.02.106,primary,Face-to-face services,Face-to-face services,Occupation: Face-to-face services
occdet,occ_ops_isp,occdet_ops_isp,1.07.02.107,primary,Inspection,Inspection,Occupation: Inspection
occdet,occ_ops_inv,occdet_ops_inv,1.07.02.108,primary,Investigation,Investigation,Occupation: Investigation
occdet,occ_ops_log,occdet_ops_log,1.07.02.109,primary,Logistics,Logistics,Occupation: Logistics
occdet,occ_ops_mgt,occdet_ops_mgt,1.07.02.110,primary,Management,Management,Occupation: Management
occdet,occ_ops_off,occdet_ops_off,1.07.02.111,primary,Offender management,Offender management,Occupation: Offender management
occdet,occ_ops_prc,occdet_ops_prc,1.07.02.112,primary,Processing,Processing,Occupation: Processing
occdet,occ_ops_prp,occdet_ops_prp,1.07.02.113,primary,Property,Property,Occupation: Property
occdet,occ_ops_tax,occdet_ops_tax,1.07.02.114,primary,Tax professional,Tax professional,Occupation: Tax professional
occdet,occ_ops_tra,occdet_ops_tra,1.07.02.115,primary,Transport,Transport,Occupation: Transport
occdet,occ_ops_oth,occdet_ops_oth,1.07.02.199,primary,Other operational role,Other operational role,Occupation: Other operational role
occdet,occ_crp_cmc,occdet_crp_cmc,1.07.02.201,primary,Commercial,Commercial,Occupation: Commercial
occdet,occ_crp_dig,occdet_crp_dig,1.07.02.202,primary,Digital/IT,Digital/IT,Occupation: Digital/IT
occdet,occ_crp_est,occdet_crp_est,1.07.02.203,primary,Estates,Estates,Occupation: Estates
occdet,occ_crp_fin,occdet_crp_fin,1.07.02.204,primary,Finance,Finance,Occupation: Finance
occdet,occ_crp_hr,occdet_crp_hr,1.07.02.205,primary,HR,Human resources,Occupation: Human resources
occdet,occ_crp_aud,occdet_crp_aud,1.07.02.206,primary,Internal audit,Internal audit,Occupation: Internal Audit
occdet,occ_crp_kim,occdet_crp_kim,1.07.02.207,primary,Knowl. and information,Knowledge and information management,Occupation: Knowledge and information management
occdet,occ_crp_prj,occdet_crp_prj,1.07.02.208,primary,Project delivery,Project delivery,Occupation: Project delivery
occdet,occ_crp_prv,occdet_crp_prv,1.07.02.209,primary,PO and secretariat,Private office and secretariat,Occupation: Private office and secretariat
occdet,occ_crp_sec,occdet_crp_sec,1.07.02.210,primary,Security,Security,Occupation: Security
occdet,occ_crp_srt,occdet_crp_srt,1.07.02.211,primary,Strategy,Strategy,Occupation: Strategy
occdet,zzz_pol,occdet_pol,1.07.02.300,primary,Policy,Policy,Occupation: Policy
occdet,occ_spc_anm,occdet_spc_anm,1.07.02.401,primary,Animal health,Animal health,Occupation: Animal health
occdet,occ_spc_crt,occdet_spc_crt,1.07.02.402,primary,Cartography,Cartography,Occupation: Cartography
occdet,occ_spc_cms,occdet_spc_cms,1.07.02.403,primary,Communications,Communications,Occupation: Communications
occdet,occ_spc_ecn,occdet_spc_ecn,1.07.02.404,primary,Economics,Economics,Occupation: Economics
occdet,occ_spc_eng,occdet_spc_eng,1.07.02.405,primary,Engineering,Engineering,Occupation: Engineering
occdet,occ_spc_hel,occdet_spc_hel,1.07.02.406,primary,Human health,Human health,Occupation: Human health
occdet,occ_spc_leg,occdet_spc_leg,1.07.02.407,primary,Legal,Legal,Occupation: Legal
occdet,occ_spc_opr,occdet_spc_opr,1.07.02.408,primary,Operational research,Operational research,Occupation: Operational research
occdet,occ_spc_res,occdet_spc_res,1.07.02.409,primary,Social research,Social research,Occupation: Social research
occdet,occ_spc_sci,occdet_spc_sci,1.07.02.410,primary,Science,Science,Occupation: Science
occdet,occ_spc_oth,occdet_spc_oth,1.07.02.490,primary,Other specialist role,Other specialist role,Occupation: Other specialist role
occdet,zzz_oth,occdet_oth,1.07.02.900,primary,Other role,Other role,Occupation: Other role
functn,fnc_anl,functn_anl,1.07.03.001,primary,Analysis,Analysis,Operational function: Analysis
functn,fnc_cmc,functn_cmc,1.07.03.002,primary,Commerical,Commerical,Operational function: Commerical
functn,fnc_cms,functn_cms,1.07.03.003,primary,Communications,Communications,Operational function: Communications
functn,fnc_cns,functn_cns,1.07.03.004,primary,Consular,Consular,Operational function: Consular
functn,fnc_cfr,functn_cfr,1.07.03.005,primary,Counter fraud,Counter fraud,Operational function: Counter fraud
functn,fnc_fed,functn_fed,1.07.03.006,primary,FEDG,"Fraud, Error, Debt and Grants","Operational function: Fraud, Error, Debt and Grants"
functn,fnc_dbt,functn_dbt,1.07.03.007,primary,Debt management,Debt management,Operational function: Debt management
functn,fnc_dig,functn_dig,1.07.03.008,primary,Digital,"Digital, data and technology","Operational function: Digital, data and technology"
functn,fnc_fin,functn_fin,1.07.03.009,primary,Finance,Finance,Operational function: Finance
functn,fnc_gtm,functn_gtm,1.07.03.010,primary,Grants management,Grants management,Operational function: Grants management
functn,fnc_hr,functn_hr,1.07.03.011,primary,HR,Human resources,Operational function: Human resources
functn,fnc_int,functn_int,1.07.03.012,primary,Intelligence analysis,Intelligence analysis,Operational function: Intelligence analysis
functn,fnc_aud,functn_aud,1.07.03.013,primary,Internal audit,Internal audit,Operational function: Internal audit
functn,fnc_trd,functn_trd,1.07.03.013,primary,International trade,International trade,Operational function: International trade
functn,fnc_kim,functn_kim,1.07.03.014,primary,Knowl. and information,Knowledge and information management,Operational function: Knowledge and information management
functn,fnc_leg,functn_leg,1.07.03.015,primary,Legal,Legal,Operational function: Legal
functn,fnc_del,functn_del,1.07.03.016,primary,Operational delivery,Operational delivery,Operational function: Operational delivery
functn,zzz_pol,functn_pol,1.07.03.017,primary,Policy,Policy,Operational function: Policy
functn,fnc_prj,functn_prj,1.07.03.018,primary,Project delivery,Project delivery,Operational function: Project delivery
functn,fnc_prp,functn_prp,1.07.03.019,primary,Property,Property,Operational function: Property
functn,fnc_sec,functn_sec,1.07.03.220,primary,Security,Security,Operational function: Security
functn,fnc_sce,functn_sce,1.07.03.221,primary,Science and engineering,Science and engineering,Operational function: Science and engineering
functn,fnc_tax,functn_tax,1.07.03.222,primary,Tax professional,Tax professional,Operational function: Tax professional
functn,fnc_oth,functn_oth,1.07.03.900,secondary,Other role,Other role,Operational function: Other role
devsch,dev_fst,devsch_fst,1.08.00.101,primary,Fast Stream,Fast Stream scheme(s),Development scheme: Fast Stream scheme(s)
devsch,dev_fst_cur,devsch_fst_cur,1.08.00.102,primary,Fast Stream (currently),Currently on a Fast Stream scheme,Development scheme: Currently on a Fast Stream scheme
devsch,dev_fst_prv,devsch_fst_prv,1.08.00.103,primary,Fast Stream (previously),Previously on a Fast Stream scheme,Development scheme: Previously on a Fast Stream scheme
devsch,dev_app,devsch_app,1.08.00.201,primary,Apprenticeship,Apprenticeship scheme,Development scheme: Apprenticeship scheme
devsch,dev_dir,devsch_dir,1.08.00.201,primary,Directors Leadership Prog.,Directors Leadership Programme,Development scheme: Directors Leadership Programme
devsch,dev_fls,devsch_fls,1.08.00.202,primary,Future Leaders Scheme,Future Leaders Scheme,Development scheme: Future Leaders Scheme
devsch,dev_sls,devsch_sls,1.08.00.203,primary,Senior Leaders Scheme,Senior Leaders Scheme,Development scheme: Senior Leaders Scheme
devsch,dev_pap,devsch_pap,1.08.00.301,primary,Positive Action Pathway,Positive Action Pathway,Development scheme: Positive Action Pathway
devsch,dev_bbo,devsch_bbo,1.08.00.302,primary,Beyond Boundaries,Beyond Boundaries,Development scheme: Beyond Boundaries
devsch,dev_idp,devsch_idp,1.08.00.303,primary,Individual Development Prog.,Individual Development Programme,Development scheme: Individual Development Programme
devsch,dev_oth,devsch_oth,1.08.00.900,primary,Another scheme,Another development scheme,Development scheme: Another development scheme
devsch,dev_oth_cur,devsch_oth_cur,1.08.00.901,primary,Another shceme (currently),Currently on another development scheme,Development scheme: Currently on another development scheme
devsch,dev_oth_prv,devsch_oth_prv,1.08.00.902,primary,Another scheme (previously),Previously on another development scheme,Development scheme: Previously on another development scheme
devsch,dev_not,devsch_not,1.08.00.995,secondary,Not on a development scheme,Not on a development scheme,Development scheme: Not on a development scheme
devsch,zzz_not_app,devsch_nap,1.08.00.996,secondary,Not applicable,Not applicable,Development scheme: Not applicable
sexgen,gid_fem,sexgen_fem,2.01.00.001,primary,Female,Female,Sex: Female
sexgen,gid_mal,sexgen_mal,2.01.00.002,primary,Male,Male,Sex: Male
sexgen,gid_oth,sexgen_oth,2.01.00.900,primary,Other identity,I identify in another way,Sex: I identify in another way
cistrn,gid_cis_all,cistrn_cis,2.01.01.001,primary,Cisgender,Cisgender,Gender identity (grouped): Cisgender
cistrn,gid_trn_all,cistrn_trn,2.01.01.002,primary,Transgender,Transgender,Gender identity (grouped): Cisgender
gendid,gid_cis_man,gendid_cisman,2.01.02.001,primary,Cisgender man,Cisgender man,Gender identity (detailed): Cisgender man
gendid,gid_cis_wom,gendid_ciswom,2.01.02.002,primary,Cisgender woman,Cisgender woman,Gender identity (detailed): Cisgender woman
gendid,gid_sam,gendid_sam,2.01.02.101,primary,Gender same as sex,Gender identity same as sex,Gender identity (detailed): Gender identity same as sex
gendid,gid_trn_man,gendid_trnman,2.01.02.201,primary,Trans man,Transgender man/male,Gender identity (detailed): Transgender man/male
gendid,gid_trn_wom,gendid_trnwom,2.01.02.202,primary,Trans woman,Transgender woman/female,Gender identity (detailed): Transgender woman/female
gendid,gid_nbn,gendid_nbn,2.01.02.301,primary,Non-binary,Non-binary,Gender identity (detailed): Non-binary
gendid,gid_oth,gendid_oth,2.01.02.302,primary,Other gender identity,Another gender identity,Gender identity (detailed): Another gender identity
gendid,gid_dif,gendid_dif,2.01.02.303,primary,Gender different to sex,"Gender different to sex, but no identity provided","Gender identity (detailed): Gender different to sex, but no identity provided"
agebnd,age_1634,agebnd_1634,2.02.00.001,primary,16-34,Aged 16 to 34,Age: Aged 16 to 34
agebnd,age_3544,agebnd_3544,2.02.00.002,primary,35-44,Aged 35 to 44,Age: Aged 35 to 44
agebnd,age_4554,agebnd_4554,2.02.00.003,primary,45-54,Aged 45 to 54,Age: Aged 45 to 54
agebnd,age_55pl,agebnd_55pl,2.02.00.004,primary,55+,Aged 55 and above,Age: Aged 55 and above
agebnd,zzz_pns,agebnd_pns,2.02.00.999,secondary,Prefer not to say,Prefer not to say,Age: Prefer not to say
ethbin,eth_wht_all,ethbin_wht,2.03.00.001,primary,White,White,Ethnicity (binary): White
ethbin,eth_min,ethbin_min,2.03.00.002,primary,Ethnic minority,Ethnic minority,Ethnicity (binary): Ethnic minority
ethgrp,eth_wht_all,ethgrp_wht,2.03.01.001,primary,White,White,Ethnicity (grouped): White
ethgrp,eth_mxd_all,ethgrp_mxd,2.03.01.002,primary,Mixed/multiple,Mixed/multiple,Ethnicity (grouped): Mixed/multiple
ethgrp,eth_asn_all,ethgrp_asn,2.03.01.003,primary,Asian,Asian,Ethnicity (grouped): Asian
ethgrp,eth_blk_all,ethgrp_blk,2.03.01.004,primary,Black,Black,Ethnicity (grouped): Black
ethgrp,eth_oth_all,ethgrp_oth,2.03.01.900,primary,Other,Other,Ethnicity (grouped): Other ethnic background
ethgrp,zzz_pns,ethgrp_pns,2.03.01.999,secondary,Prefer not to say,Prefer not to say,Ethnicity (grouped): Prefer not to say
ethdet,eth_wht_brt,ethdet_wht_brt,2.03.03.101,primary,White British,"White English, Scottish, Northern Irish or British","Ethnicity: White English, Scottish, Northern Irish or British"
ethdet,eth_wht_iri,ethdet_wht_iri,2.03.03.102,primary,White Irish,White Irish,Ethnicity: White Irish
ethdet,eth_wht_gyp,ethdet_wht_gyp,2.03.03.103,primary,Gypsy or Irish Traveller,Gypsy or Irish Traveller,Ethnicity: Gypsy or Irish Traveller
ethdet,eth_wht_rom,ethdet_wht_rom,2.03.03.104,primary,Roma,Roma,Ethnicity: Roma
ethdet,eth_wht_oth,ethdet_wht_oth,2.03.03.190,primary,Other White,Any other white background,Ethnicity: Any other white background
ethdet,eth_mxd_wbc,ethdet_mxd_wbc,2.03.03.201,primary,White and Black Caribbean,White and Black Caribbean,Ethnicity: White and Black Caribbean
ethdet,eth_mxd_waf,ethdet_mxd_waf,2.03.03.202,primary,White and Black African,White and Black African,Ethnicity: White and Black African
ethdet,eth_mxd_was,ethdet_mxd_was,2.03.03.203,primary,White and Asian,White and Asian,Ethnicity: White and Asian
ethdet,eth_mxd_oth,ethdet_mxd_oth,2.03.03.290,primary,Other Mixed/Multiple,Any other Mixed/Multiple background,Ethnicity: Any other Mixed/Multiple background
ethdet,eth_asn_ind,ethdet_asn_ind,2.03.03.301,primary,Indian,Indian,Ethnicity: Indian
ethdet,eth_asn_pak,ethdet_asn_pak,2.03.03.302,primary,Pakistani,Pakistani,Ethnicity: Pakistani
ethdet,eth_asn_bgd,ethdet_asn_bgd,2.03.03.303,primary,Bangladeshi,Bangladeshi,Ethnicity: Bangladeshi
ethdet,eth_asn_chn,ethdet_asn_chn,2.03.03.304,primary,Chinese,Chinese,Ethnicity: Chinese
ethdet,eth_asn_oth,ethdet_asn_oth,2.03.03.390,primary,Other Asian,Any other Asian background,Ethnicity: Any other Asian background
ethdet,eth_blk_afr,ethdet_blk_afr,2.03.03.401,primary,African,African,Ethnicity: African
ethdet,eth_blk_crb,ethdet_blk_crb,2.03.03.402,primary,Caribbean,Caribbean,Ethnicity: Caribbean
ethdet,eth_blk_oth,ethdet_blk_oth,2.03.03.490,primary,Other Black,Any other Black background,Ethnicity: Any other Black background
ethdet,eth_oth_arb,ethdet_oth_arb,2.03.03.501,primary,Arab,Arab,Ethnicity: Arab
ethdet,eth_oth_oth,ethdet_oth_oth,2.03.03.900,primary,Other ethnicity,Any other ethnic group,Ethnicity: Any other ethnic group
ethdet,zzz_pns,ethdet_pns,2.03.03.999,secondary,Prefer not to say,Prefer not to say,Ethnicity: Prefer not to say
citizn,ctz_brt,citizn_brt,2.03.04.001,primary,British,British,Citizenship: British
citizn,ctz_cmw,citizn_cmw,2.03.04.002,primary,Commonwealth,Commonwealth,Citizenship: Commonwealth
citizn,ctz_eur,citizn_eur,2.03.04.003,primary,EU/EFTA,"European Union, Iceland, Liechtenstein, Norway and Switzerland","Citizenship: European Union, Iceland, Liechtenstein, Norway and Switzerland"
citizn,ctz_oth,citizn_oth,2.03.04.900,secondary,Other citizenhip,Other citizenhip,Citizenship: Other citizenhip
citizn,zzz_dkp,citizn_dkp,2.03.04.998,secondary,Don't know,Don't know,Citizenship: Don't know
ltcond,ltc_ltc,ltcond_ltc,2.04.00.001,primary,Has a long-term limiting condition,Has a long-term limiting condition,Health status: Has a long-term limiting condition
ltcond,ltc_non,ltcond_ncd,2.04.00.002,primary,No long-term limiting condition,No long-term limiting condition,Health status: No long-term limiting condition
ltcimp,ltc_imp_lot,ltcimp_lot,2.04.01.001,primary,Long-term condition that limits a lot,Long-term health condition that limits daily activities a lot,Health condition impact: Long-term health condition that limits daily activities a lot
ltcimp,ltc_imp_lit,ltcimp_low,2.04.01.002,primary,Long-term condition that limits a little,Long-term health condition that limits daily activities a little,Health condition impact: Long-term health condition that limits daily activities a little
ltcimp,ltc_imp_non,ltcimp_nim,2.04.01.003,primary,Long-term condition that does not limit,Long-term health condition that does not limit daily activities,Health condition impact: Long-term health condition that does not limit daily activities
ltcimp,ltc_non,ltcimp_ncd,2.04.01.004,primary,No long-term health condition,No-long term health condition,Health condition impact: No-long term health condition
menhel,mhl_por,menhel_por,2.04.02.001,primary,Poor,Poor mental health,Mental health rating: Poor mental health
menhel,mhl_fai,menhel_fai,2.04.02.002,primary,Fair,Fair mental health,Mental health rating: Fair mental health
menhel,mhl_god,menhel_god,2.04.02.003,primary,Good,Good mental health,Mental health rating: Good mental health
menhel,mhl_vgd,menhel_vgd,2.04.02.004,primary,Very good,Very good mental health,Mental health rating: Very good mental health
menhel,mhl_exc,menhel_exc,2.04.02.005,primary,Excellent,Excellent mental health,Mental health rating: Excellent mental health
wkpadj,adj_cmp,wkpadj_cmp,2.04.03.001,primary,Completely,Completely met,Workplace adjustments: Needs completely met
wkpadj,adj_mst,wkpadj_mst,2.04.03.002,primary,Mostly,Mostly met,Workplace adjustments: Needs mostly met
wkpadj,adj_prt,wkpadj_prt,2.04.03.003,primary,Partially,Partially met,Workplace adjustments: Needs partially met
wkpadj,adj_not,wkpadj_not,2.04.03.004,primary,Not at all,Not at all met,Workplace adjustments: Needs not at all met
wkpadj,adj_nar,wkpadj_nar,2.04.03.005,secondary,Not applicable,Not applicable,Workplace adjustments: Not applicable
wadjmg,zzz_sda,wadjmg_sda,2.04.04.001,primary,Strongly disagree,Strongly disagree,Manager supports workplace adjustments: Strongly disagree
wadjmg,zzz_dis,wadjmg_dis,2.04.04.002,primary,Disagree,Disagree,Manager supports workplace adjustments: Disagree
wadjmg,zzz_nad,wadjmg_nad,2.04.04.003,primary,Neither agree nor disagree,Neither agree nor disagree,Manager supports workplace adjustments: Neither agree nor disagree
wadjmg,zzz_agr,wadjmg_agr,2.04.04.004,primary,Agree,Agree,Manager supports workplace adjustments: Agree
wadjmg,zzz_sag,wadjmg_sag,2.04.04.005,primary,Strongly agree,Strongly agree,Manager supports workplace adjustments: Strongly agree
wadjps,zzz_yes,wadjps_psp,2.04.05.101,primary,Has a passport,Has a workplace adjustment passport,Workplace adjustment passport: Has a workplace adjustment passport
wadjps,adj_pas_yan,wadjps_psh,2.04.05.102,primary,Passport helps,Has a workplace adjustment passport,Workplace adjustment passport: Has a workplace adjustment passport
wadjps,adj_pas_ybu,wadjps_psn,2.04.05.103,primary,"Passport, but does not help",Has a workplace adjustment passport,Workplace adjustment passport: Has a workplace adjustment passport
